date;product;platform;text
2025-11-30 15:59:22.456961;КИОН;ANDROID;Не те фильмы и сериалы 
2025-11-28 19:57:37.267498;КИОН;ANDROID;Навязывание всяких опросов
2025-11-18 11:57:05.569637;КИОН;ANDROID;"Недьзя 
свернуть"
2025-11-23 05:56:30.437893;КИОН;IOS;Когда смотришь с телефона, через несколько минут требует фейс айди
2025-11-17 20:00:34.470556;КИОН;ANDROID;Трафик улетает с тройной скоростью
2025-11-18 21:58:19.307409;КИОН;IOS;Список доступных фильмов+ стоимость, навигация не удобная, приходится постоянно включать поворот экрана, в Ютубе например, с этим все проще
2025-11-21 06:48:43.105372;КИОН;ANDROID;Программа телепередач не совподает с транслируемыми каналами
2025-11-23 13:03:30.341661;КИОН;IOS;Опять зависают программыTV (особенно НТВ),так уже было,потом исправили,теперь опять
2025-11-24 22:59:01.707494;КИОН;ANDROID;Маленькая коллекция фильмов хороших. Подписка внутри подписки бред. 
2025-11-30 05:20:20.572206;КИОН;IOS;Не могу убрать карту. Приложением не пользуюсь . Деньги списываются 
2025-11-25 09:41:49.676342;КИОН;IOS;Нет  сети. 
2025-11-30 16:33:23.849499;КИОН;IOS;Не пользуюсь а списывает без предупреждения 
2025-11-20 17:00:11.936865;КИОН;IOS;Прилипала. Невозможно отписаться
2025-11-29 16:58:50.586023;КИОН;ANDROID;Ничего!
2025-11-30 00:01:38.909343;КИОН;ANDROID;"Раньше когда я подключил премиум кино был безлимит сейчас доплачиваю и то не хватает ""безлимит"", какой безлимит если есть ограниченья? "
2025-11-21 11:59:15.164700;КИОН;ANDROID;С подпиской и вы задолбали своими рекламами прерывание эфир на ваши оекламы
2025-11-30 00:52:13.424022;КИОН;IOS;Нет интернета 
2025-11-20 05:49:16.443600;КИОН;IOS;Реклама, появляющаяся поверх каналов, не приветствуется.
2025-12-01 00:46:52.166415;КИОН;IOS;Мало фильмов 
2025-11-21 12:44:41.082207;КИОН;IOS;Мало фильмов и сериалов которые я смотрю 
2025-11-20 12:33:15.148388;КИОН;IOS;Периодически не грузит тв каналы. Впн не роль дуюсь интернет хороший 
2025-11-28 10:53:54.987846;КИОН;IOS;На телевизоре приложение не работает
2025-11-18 07:48:38.241207;КИОН;ANDROID;"Непонятный тариф подключения. 
Тариф подключ?н, а что бы  посмотреть фильм, надо подключить другой тариф. 
     
"
2025-11-20 19:53:24.630278;КИОН;ANDROID;Баги мобильного приложения, при смене ориентации зависает и требует повторный старт
2025-11-15 16:52:34.447396;КИОН;IOS;Приложение не работает на телевизоре
2025-11-19 16:47:16.100310;КИОН;IOS;На телефоне работает идеально,а вот на телевизоре ни один фильм не воспроизводится. Если у вас ограничения на работу приложения на территории Крыма ( хотя это тоже Россия) - надо хотя бы мелким шрифтом об этом писать- что не на каждом телевизоре он будет работать. А так- нареканий нет. Широкий выбор ,отличное качество 
2025-11-14 18:57:22.510162;КИОН;ANDROID;Не работает в Республике Крым
2025-11-25 06:47:16.974505;КИОН;ANDROID;Нет региональных каналов нашего города.
2025-11-20 07:56:08.509857;КИОН;ANDROID;"Приложение часто вылетает из аккаунта, что на телефоне, что на телевизоре. 
Убрали каналы ""вижу""
"
2025-11-15 14:56:55.343975;КИОН;ANDROID;Поддержка при проблемах это позор
2025-11-18 08:54:25.054830;КИОН;ANDROID;Реклама в приложении жутко тормозит работу самого приложения.
2025-11-25 19:03:45.424151;КИОН;ANDROID;Безлимит не работает
2025-11-27 22:07:53.536107;КИОН;ANDROID;Дожили. 20 Гб за один вечер, чтобы посмотреть НТВ. Как так. Совсем берегов не видите. Совсем заелись. 
2025-11-15 19:57:47.235059;КИОН;ANDROID;При покупке премиум не все каналы доступны.
2025-11-19 14:49:03.516010;КИОН;IOS;Абсолютная невозможность управлять подпиской. Кнопка отписка не активна! Жмешь ничего не меняется. Чтобы отписаться - нужно пройти 300 кругов Ада 
2025-11-15 09:54:13.265084;КИОН;ANDROID;Мало триллеров стран Великобритании, Скандинавии, Испании в бесплатной  подписке
2025-11-21 11:56:58.035001;КИОН;ANDROID;Список доступных каналов, нет даже стандартного доступного списка. Навязчивая реклама. 
2025-11-17 05:49:31.395111;КИОН;ANDROID;"Когда сворачиваешь приложение не открывается маленькое  окно 

"
2025-11-16 12:59:23.765528;КИОН;ANDROID;Не интересно 
2025-11-26 23:37:47.482377;КИОН;IOS;Списываются деньги не понятно зачем
2025-11-17 00:59:06.054611;КИОН;IOS;нет нориального приложения для макбук
2025-11-28 13:00:35.028344;КИОН;ANDROID;Мало новых фильмов и сериалов
2025-11-14 17:58:48.789584;КИОН;ANDROID;Приложение выглядит максимально несовременно. Очень плохо. А версия для ВебОС просто хр.ново работает.
2025-11-24 15:57:08.368255;КИОН;IOS;Проблемы с оплатой подписки , нельзя выбрать какой картой будет проводить оплату 
2025-11-25 19:02:44.252550;КИОН;ANDROID;Слишком много рекламы сервисов Кион
2025-11-20 11:55:03.426115;КИОН;IOS;Удержание дс
2025-11-22 21:57:38.777354;КИОН;IOS;Не удобное меню 
2025-11-24 07:57:58.912136;КИОН;ANDROID;Несколько факторов указанных в вашем списке это первый и третий 
2025-11-30 21:58:42.149531;КИОН;ANDROID;Не работает поиск нужного фильма
2025-11-29 15:56:19.846365;КИОН;ANDROID;"Продолжение просмотра на телевизоре иногда не запускается.
Просмотры сериалов иногда не учитываются в призах.
Приложение потребляет больше ресурсов, чем приложения других онлайн кинотеатров - из-за этого фризит иногда."
2025-11-19 16:00:14.888836;КИОН;ANDROID;Нельзя скачивать на карту памяти
2025-11-18 14:42:08.644684;КИОН;IOS;Невозможно смотреть многие фильмы на новых территориях Российской Федерации 
2025-11-22 23:01:02.422903;КИОН;ANDROID;Не достаточно фильмов, почему то нет Невского, Метод( с Хабенским и др.
2025-11-14 09:45:00.323174;КИОН;ANDROID;То, что интересно, в по подписке.В последнее время выбор скудный.Я бы хотела видеть поиск более  понятный.  Фильмы по странам, выбор по режиссеру. Пока разберешься. 
2025-11-24 01:57:44.901719;КИОН;ANDROID;Уже второй месяц подряд приложение работает от силы 5 дней потом не работает ? вы только деньги получаете
2025-11-17 20:45:40.474831;КИОН;IOS;не работает с впн, а это важно потому что в РФ глушат связь и ты просто так тратишь такие деньги за подписку 
2025-11-23 06:59:32.413378;КИОН;IOS;Уже больше 1 месяца не работает кион на телевизоре! Я писала в поддержку и мне сказали, что они нашли проблему, но не знаю как её решить! ужасный сервис 
2025-11-29 01:57:02.191786;КИОН;ANDROID;Хуета
2025-11-30 16:00:28.896299;КИОН;ANDROID;Большой расход ГБ.
2025-11-17 15:49:52.625363;КИОН;IOS;Периодически исчезает звук
2025-11-20 17:00:09.307873;КИОН;ANDROID;Рекламы сторонние 
2025-11-14 09:24:03.567546;КИОН;IOS;Нестабильная работа приложения, постоянно висит, не работает 
2025-11-19 08:31:33.449593;КИОН;IOS;Я отключала подписку!!! Почему деньги сейчас списались! 
2025-11-26 06:47:20.955399;КИОН;ANDROID;Не работает
2025-11-21 18:58:02.318632;КИОН;ANDROID;Да просто мне это не надо.
2025-11-20 15:56:10.488235;КИОН;ANDROID;Проблемы с воспроизведением, ограничен список фильмов, проблемы ВК видео и рутуб
2025-10-21 06:29:53.071131;КИОН;IOS;Все выше перечисление а также невозможность отключить подписку
2025-10-25 06:59:18.535725;КИОН;ANDROID;Невозможно выйти с фильма на главную
2025-10-31 12:56:16.074434;КИОН;ANDROID;Плохо работает программа достижений.Не обновляется,не учитывается...Приходится постоянно обращаться в поддержку
2025-10-06 18:58:38.394780;КИОН;ANDROID;"Бесит долгая заставка реклама и долгие переходы и нахер не нужные бонусы какие-то 
"
2025-10-27 23:54:00.642841;КИОН;IOS;Я хочу загрузить видео но показывает что нет памяти хотя там нет видео
2025-10-08 21:57:38.312403;КИОН;ANDROID;Нет фонового режима
2025-10-05 22:51:25.603911;КИОН;IOS;На телевизоре не дает смотреть, все тормозит и не грузит , через 10-15 минут после начала просто выкидывает из приложения 
2025-10-10 04:01:10.461249;КИОН;IOS;высокая стоимость подписки и отсутствие таймера авто выключения во время просмотра
2025-10-07 09:28:24.766007;КИОН;IOS;Существуют гораздо более удобные приложения(
2025-10-29 21:58:42.724740;КИОН;IOS;Не всё можно смотреть по подписке 
2025-10-05 06:41:41.697364;КИОН;IOS;Реклама
2025-10-11 10:59:39.759845;КИОН;ANDROID;РЕКЛАМА КОТОРАЯ НЕ НА В-КАНАЛЕ, А ПРИЛОЖЕНИЯ, ОРЁТ, ТОРМОЗИТ, ВИСНЕТ
2025-10-15 11:01:38.854747;КИОН;IOS;Не сохраняется настройка качества видеопотока. Реклама на старте двойная! Короткая задержка для прочтения аннотации перед запуском трейлера в шапке . И вообще хорошо было бы запустить трейлер кнопкой, а не автоматически.
2025-10-01 21:52:16.068361;КИОН;IOS;Начинаешь смотреть сериал а он через какое-то время пропадает из папки «продолжить просмотр» и приходится его искать. Один сериал серию посмотрела, забыла как называется, так до сих пор его больше и не вижу в приложении
2025-10-28 23:00:57.448119;КИОН;ANDROID;Нет оригинальной озвучки у зарубежных фильмов
2025-10-14 18:45:28.518998;КИОН;IOS;Неудобный видеоплеер, высока стоимость, список доступного контента.  
2025-10-15 00:59:09.074323;КИОН;IOS;Не хватает мульт сериалов по типу «симпсоны» или «гриффины»
2025-10-22 14:00:45.809282;КИОН;ANDROID;"Хотелось бы вручную выбирать качество видео при просмотре телеканалов: 1080; 720; 576; 480;  360"
2025-10-24 23:47:23.007911;КИОН;IOS;Не переключает нормально серии, приходится перезапускать
2025-10-03 14:56:08.102723;КИОН;IOS;Контент фильмов оставляет  желать лучшего, не обновляется  совсем , перешел на око, больше фильмов и сериалов 
2025-10-05 02:00:22.589410;КИОН;ANDROID;Я не даю советов
2025-10-20 09:59:07.958696;КИОН;ANDROID;Быстро кончаются деньги
2025-10-23 05:51:38.813164;КИОН;ANDROID;"Подписка дорогая, сериалы сокращ?нные обрезаные, интересного не чего нет, старь? одно и то сокращ?нное. 

"
2025-10-22 13:58:32.724826;КИОН;ANDROID;Много съедает интернета, даже при качестве 240
2025-10-18 23:00:30.626612;КИОН;ANDROID; рекламу не только на каналах, но и еще вставляете, за...бало
2025-10-14 03:03:11.926416;КИОН;IOS;отсутствие субтитров!!!
2025-10-07 06:29:14.290429;КИОН;IOS;При поиске каналов приложение постоянно возвращает к изначально выбранному 
2025-10-15 19:00:40.979745;КИОН;ANDROID;У каждого свое мнение. 
2025-10-07 18:49:30.214120;КИОН;IOS;П.2 и П.4
2025-10-16 15:59:48.168691;КИОН;ANDROID;Реклама 
2025-10-29 18:56:20.316756;КИОН;IOS;Неудобный интерфейс когда включается кино 
2025-10-26 11:52:03.580507;КИОН;IOS;Нет перемотки на 10, 20, 30 секунд 
2025-10-28 14:58:30.727178;КИОН;IOS;Все нравится 
2025-10-31 15:44:19.755698;КИОН;IOS;Можно скачать фильмы и сериалы, но без интернета невозможно войти в приложение чтобы их смотреть 
2025-10-20 16:59:46.282932;КИОН;ANDROID;Подписка сразу прекращает свое действие после отключения, хотя еще остается время оплачиваемого периода
2025-10-20 23:42:12.866960;КИОН;IOS;Невозможно отменить подписку
2025-10-09 17:57:21.651375;КИОН;IOS;не дает отменить подписку
2025-10-27 09:59:45.472179;КИОН;ANDROID;Все на Мегафоне
2025-10-05 08:54:07.746183;КИОН;ANDROID;Много технических недоработок. Приложение само зависает, не держит формат экрана
2025-10-30 23:59:06.923880;КИОН;ANDROID;"Нельзя свернуть в маленький экран и работать с другими приложениями одновременно с просмотром. Другими словами нет функции картинка в картинке 
 "
2025-10-27 11:00:51.775969;КИОН;IOS;"Проблемы со скоростью и качеством?????
Эти проблемы связанны с оператором?????
"
2025-10-18 23:00:43.016770;КИОН;ANDROID;Непонятно когда просит оформить подписку, а она оформленная . но фильм не удаётся посмотреть
2025-10-13 14:57:30.731997;КИОН;ANDROID;Не запускается в режиме плавающего окна.
2025-10-17 03:56:30.333448;КИОН;IOS;Ошибка потока, приложение не работает.  К тому же очень неудобное, например добавить канал в любимые через  дальнее меня, а не сразу во время просмотра
2025-10-23 10:01:03.215952;КИОН;ANDROID;Мало действительно хороших фильмов.
2025-10-09 05:46:42.205926;КИОН;ANDROID;Нет фонового режима
2025-10-02 08:19:44.805660;КИОН;ANDROID;неудобный формат 
2025-10-25 21:58:54.408208;КИОН;IOS;Платная подписка
2025-10-13 02:57:38.289033;КИОН;IOS;Неудобства в работе. Составляли люди, которые мало пользуются приложением. 
2025-10-23 16:53:24.038602;КИОН;IOS;Не успеваю выбрать канал тв, он переходит к началу списка
2025-10-26 05:49:44.833390;КИОН;ANDROID;За такие деньги, еще и по подписке покупать.
2025-10-17 09:55:01.818504;КИОН;ANDROID;Потребляет трафик, тормозит, мало фантастики, много отдельно платного контента! 
2025-10-27 05:44:05.372774;КИОН;IOS;Проблема а оплатой ( не могу пользоваться из-за этого приложением) 
2025-10-14 21:49:44.059878;КИОН;ANDROID;Мтс снимаю  трафик  Мало  фильмом 
2025-10-07 08:51:30.051531;КИОН;IOS;Репертуар небольшой
2025-10-02 14:51:03.801861;КИОН;IOS;неудобное приложение, все еще не понимаю как перематывать видео на 10сек в перед
2025-10-25 11:56:56.150394;КИОН;ANDROID;Смотришь фильм полностью из списка достижений на медальки, а он не зашитывает. Мало выбора!
2025-10-11 08:51:31.975210;КИОН;IOS;"Очень маленький список фильмов сериалов доступно 
Не доступен разворот экрана только у стоячем положении должен быть, отвратно "
2025-10-03 18:48:08.519517;КИОН;IOS;С мтс теперь невозможно подключить подписку по промокоду потому что уже всегда есть подписка от МТС но в нее ничего не входит практически!!! 
2025-10-08 14:58:11.367529;КИОН;ANDROID;Мало фильмов и сериалов 
2025-10-09 13:00:36.696846;КИОН;IOS;Долгий запуск приложения. При поиске прокрутке  тв каналов постоянно через 3 секунды идет возврат в исходный ,канал  это очень раздражает.
2025-10-24 04:51:54.997157;КИОН;ANDROID;Не отключается подписка кион премиум.подключение выполнено не мной.
2025-10-17 21:57:12.672841;КИОН;IOS;Списали последние деньги 
2025-10-17 12:55:30.998907;КИОН;IOS;Реклама раздражает
